Architektur:                   x86_64
CPU Operationsmodus:           32-bit, 64-bit
Byte-Reihenfolge:              Little Endian
CPU(s):                        4
Liste der Online-CPU(s):       0-3
Thread(s) pro Kern:            1
Kern(e) pro Socket:            4
Sockel:                        1
NUMA-Knoten:                   1
Anbieterkennung:               AuthenticAMD
Prozessorfamilie:              18
Modell:                        1
Modellname:                    AMD A6-3410MX APU with Radeon(tm) HD Graphics
Stepping:                      0
CPU MHz:                       1597.082
Maximale Taktfrequenz der CPU: 1600,0000
Minimale Taktfrequenz der CPU: 800,0000
BogoMIPS:                      3194.16
Virtualisierung:               AMD-V
L1d Cache:                     64K
L1i Cache:                     64K
L2 Cache:                      1024K
NUMA-Knoten0 CPU(s):           0-3
Markierungen:                  fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm 3dnowext 3dnow constant_tsc rep_good nopl nonstop_tsc cpuid extd_apicid aperfmperf pni monitor cx16 popcnt lahf_lm cmp_legacy svm extapic cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw ibs skinit wdt cpb hw_pstate vmmcall arat npt lbrv svm_lock nrip_save pausefilter
