,Test Mean Absolute Error (Lower is better),Hardware,Algorithm
0,0.23077187493770812,Avg,LR
1,0.12941286283940662,AuthenticAMD,LR
2,0.2061147612893957,GenuineIntel,LR
3,0.09783657170051763,Avg,SV
4,0.08737282231525745,AuthenticAMD,SV
5,0.0953554877149043,GenuineIntel,SV
6,0.09560491792987322,Avg,NN
7,0.09560491792987322,AuthenticAMD,NN
8,0.09560491792987322,GenuineIntel,NN
9,0.03674877725422411,Avg,DT
10,0.021436786731630735,AuthenticAMD,DT
11,0.06826595774656213,GenuineIntel,DT
12,0.061569513891347925,Avg,RF
13,0.01815746876137532,AuthenticAMD,RF
14,0.06583773124952094,GenuineIntel,RF
15,0.058717918008542314,Avg,GB
16,0.014930930233077146,AuthenticAMD,GB
17,0.09133802126365254,GenuineIntel,GB
18,0.3220328827911836,Avg,LR
19,0.2342417938635436,AuthenticAMD,LR
20,0.3606676908819647,GenuineIntel,LR
21,0.3389075709629019,Avg,SV
22,0.24088041751215988,AuthenticAMD,SV
23,0.29596366701831367,GenuineIntel,SV
24,0.21097895882715148,Avg,NN
25,0.21097895882715148,AuthenticAMD,NN
26,0.21097895882715148,GenuineIntel,NN
27,0.25585837694056435,Avg,DT
28,0.18149163395739043,AuthenticAMD,DT
29,0.3439030834708753,GenuineIntel,DT
30,0.19395104744889322,Avg,RF
31,0.09088604484027096,AuthenticAMD,RF
32,0.24456773526631842,GenuineIntel,RF
33,0.19908616358100728,Avg,GB
34,0.08119838543750454,AuthenticAMD,GB
35,0.26616136319836325,GenuineIntel,GB
36,0.3106275101293161,AuthenticAMD,LR
37,1.839327379952795,GenuineIntel,LR
38,0.6488084896269863,Avg,SV
39,0.5293147543515893,AuthenticAMD,SV
40,0.9322997885801068,GenuineIntel,SV
41,0.07027729178320448,Avg,NN
42,0.07027729178320448,AuthenticAMD,NN
43,0.07027729178320448,GenuineIntel,NN
44,0.34817526590749526,Avg,DT
45,0.27543657479231376,AuthenticAMD,DT
46,0.45621541884217093,GenuineIntel,DT
47,0.19911082671228267,Avg,RF
48,0.17417254745521799,AuthenticAMD,RF
49,0.2967458302214918,GenuineIntel,RF
50,0.26416280040225376,Avg,GB
51,0.1675704031868102,AuthenticAMD,GB
52,0.3530087051170201,GenuineIntel,GB
53,0.5596248512394675,Avg,LR
54,0.40269262694390734,AuthenticAMD,LR
55,0.7203755839324035,GenuineIntel,LR
56,0.3752168872984267,Avg,SV
57,0.33324743067818396,AuthenticAMD,SV
