,Test Mean Absolute Error (Lower is better),Hardware,Algorithm
0,0.12016821499458447,Avg,LR
1,0.07076466710247337,AuthenticAMD,LR
2,0.13163646422259492,GenuineIntel,LR
3,0.13265332860725637,Avg,SV
4,0.10861238850762805,AuthenticAMD,SV
5,0.16450652343460853,GenuineIntel,SV
6,0.07372317596709853,Avg,NN
7,0.07372317596709853,AuthenticAMD,NN
8,0.07372317596709853,GenuineIntel,NN
9,0.11279919719530901,Avg,DT
10,0.09196979998594795,AuthenticAMD,DT
11,0.13159906339452718,GenuineIntel,DT
12,0.08427894563172239,Avg,RF
13,0.07274736406693366,AuthenticAMD,RF
14,0.09259788642487639,GenuineIntel,RF
15,0.08631344473140118,Avg,GB
16,0.06699134267104742,AuthenticAMD,GB
17,0.1365259924629748,GenuineIntel,GB
18,0.3729314250219542,Avg,LR
19,0.2890496373514887,AuthenticAMD,LR
20,0.6410958350739495,GenuineIntel,LR
21,0.43056154348978803,Avg,SV
22,0.35029129267302933,AuthenticAMD,SV
23,0.679113852104779,GenuineIntel,SV
24,0.4106159387037356,Avg,NN
25,0.4106159387037356,AuthenticAMD,NN
26,0.4106159387037356,GenuineIntel,NN
27,0.19020012610205986,Avg,DT
28,0.11108951256540191,AuthenticAMD,DT
29,0.3209769627185316,GenuineIntel,DT
30,0.15322568416696447,Avg,RF
31,0.055978434220514156,AuthenticAMD,RF
32,0.24550129223417408,GenuineIntel,RF
33,0.07512337685129275,Avg,GB
34,0.038178455980545326,AuthenticAMD,GB
35,0.1808620060658293,GenuineIntel,GB
36,0.12505729813704816,Avg,LR
37,0.07298584121419904,AuthenticAMD,LR
38,0.14605377484005544,GenuineIntel,LR
39,0.10225805044446426,Avg,SV
40,0.09823199660343415,AuthenticAMD,SV
41,0.11059725792366346,GenuineIntel,SV
42,0.10795315112201435,Avg,NN
43,0.10795315112201435,AuthenticAMD,NN
44,0.10795315112201435,GenuineIntel,NN
45,0.049901760247431134,Avg,DT
46,0.0221785601099694,AuthenticAMD,DT
47,0.06481948222616056,GenuineIntel,DT
48,0.07166678262201671,Avg,RF
49,0.02081273044986377,AuthenticAMD,RF
50,0.11362595604276407,GenuineIntel,RF
51,0.05350435781717948,Avg,GB
52,0.021120892669816066,AuthenticAMD,GB
53,0.1006824929271019,GenuineIntel,GB
54,0.865030584902152,Avg,LR
55,0.977073709892982,AuthenticAMD,LR
56,0.9269618306436003,GenuineIntel,LR
57,0.44951773951564533,Avg,SV
58,0.5931964631189454,AuthenticAMD,SV
59,0.20614854700139393,GenuineIntel,SV
60,0.3753641792535123,Avg,NN
