,perf_star,conf_star,price_star,price_dollar
AMDA10-4600MAPU,*,*,**,99.0
AMDA10-5800KAPU,**,*,*,46.0
AMDA10-6700APU,***,**,**,57.0
AMDA10-7700KAPUwithRadeonR7,**,*,**,62.0
AMDA10-7800RadeonR712ComputeCores4C,***,*,**,54.0
AMDA10-7850KAPU,*,*****,**,70.0
AMDA10-7850KAPUwithRadeonR7,**,**,**,70.0
AMDA10-7850KRadeonR712ComputeCores4C,**,*,**,71.0
AMDA10-7870KRadeonR712ComputeCores4C,**,*****,**,110.0
AMDA10-8700PRadeonR610ComputeCores4C,****,*,*****,466.0
AMDA10Micro-6700TAPU,*****,*,*,50.0
AMDA12-9720PRADEONR712COMPUTECORES4C,*****,*,*****,500.0
AMDA4-5000APU,*,*,*,43.0
AMDA4-5300APU,*,*,*,27.0
AMDA4-6300APU,***,*,*,25.0
AMDA6-3410MXAPU,*,***,*,4.0
AMDA6-3670APU,***,*,***,177.0
AMDA6-4400MAPU,*,**,*,27.0
AMDA6-6310APUwithAMDRadeonR4,*,*,***,177.0
AMDA6-6400KAPU,****,*,*,51.0
AMDA6-7400KRadeonR56ComputeCores2C,**,*,**,62.0
AMDA8-3870APU,***,**,**,68.0
AMDA8-6500APU,**,*,*,44.0
AMDA8-7600RadeonR710ComputeCores4C,**,**,**,61.0
AMDA8-7650KRadeonR710ComputeCores4C,**,*,**,64.0
AMDA8-7670KRadeonR710ComputeCores4C,****,*,**,90.0
AMDA9-9425RADEONR55COMPUTECORES2C,**,*,****,300.0
AMDAthlon200GE,*,*,***,125.0
AMDAthlon3000G,***,***,**,55.0
AMDAthlon5150APUwithRadeonR3,*,*,**,99.0
AMDAthlon5350APU,*,*,***,130.0
AMDAthlon5350APUwithRadeonR3,*,**,***,130.0
AMDAthlon643500,*,*,**,80.0
AMDAthlon643700,*,*,**,90.0
AMDAthlon64X23800,*,*,*,14.0
AMDAthlon64X24000,**,*,*,8.0
AMDAthlon64X25000,**,*,*,9.0
AMDAthlon64X25200,***,*,*,7.0
AMDAthlon64X26000,**,**,*,23.0
AMDAthlon7750,****,*,**,80.0
AMDAthlonII170u,****,*,*,24.0
AMDAthlonIIX2215,*,*,*,29.0
AMDAthlonIIX2245,****,*,**,60.0
AMDAthlonIIX2250,***,**,*,39.0
AMDAthlonIIX2260,**,*,*,45.0
AMDAthlonIIX2270,**,*,*,20.0
AMDAthlonIIX24400e,***,*,*,38.0
AMDAthlonIIX3425,****,*,**,58.0
AMDAthlonIIX3450,***,*,*,28.0
AMDAthlonIIX4620,*,*,**,55.0
AMDAthlonIIX4630,***,**,*,48.0
AMDAthlonIIX4635,***,*,*,39.0
AMDAthlonIIX4640,**,*,*,15.0
AMDAthlonX4750KQuadCore,**,*,***,190.0
AMDAthlonX4845QuadCore,***,*,**,79.0
AMDC-60APU,*,*,***,139.0
AMDE-350,*,**,*,30.0
AMDE-450APU,*****,*,*,40.0
AMDE1-1500APU,**,*,*,50.0
AMDE1-2100APU,*,*,***,144.0
AMDE2-1800APU,**,*,*,50.0
AMDEPYC7232P8-Core,****,*****,*****,600.0
AMDEPYC72518-Core,****,***,*****,510.0
AMDEPYC72528-Core,****,*****,*****,1417.0
AMDEPYC72628-Core,****,*****,*****,1080.0
AMDEPYC727212-Core,****,*****,*****,2986.0
AMDEPYC728116-Core,****,**,*****,553.0
AMDEPYC728216-Core,****,*****,*****,2489.0
AMDEPYC72F38-Core,*****,*****,*****,2888.0
AMDEPYC730216-Core,****,***,*****,2380.0
AMDEPYC7302P16-Core,****,*****,*****,1357.0
AMDEPYC731316-Core,*****,*****,*****,1083.0
AMDEPYC734316-Core,*****,*****,*****,1565.0
AMDEPYC7351P16-Core,****,*****,*****,999.0
AMDEPYC735224-Core,*****,*****,*****,2500.0
AMDEPYC73F316-Core,*****,*****,*****,3521.0
AMDEPYC7401P24-Core,****,*****,*****,844.0
AMDEPYC740224-Core,*****,****,*****,2500.0
AMDEPYC7402P24-Core,*****,*****,*****,3499.0
AMDEPYC744324-Core,*****,*****,*****,1337.0
AMDEPYC745232-Core,*****,*****,*****,3614.0
AMDEPYC745328-Core,*****,*****,*****,1768.0
AMDEPYC74F324-Core,*****,*****,*****,2900.0
AMDEPYC750232-Core,*****,*****,*****,3599.0
AMDEPYC7502P32-Core,*****,*****,*****,3950.0
AMDEPYC753232-Core,*****,*****,*****,3158.0
AMDEPYC754232-Core,*****,*****,*****,4093.0
AMDEPYC754332-Core,*****,*****,*****,7522.0
AMDEPYC755132-Core,***,*****,*****,3750.0
AMDEPYC7551P32-Core,**,***,*****,1472.0
AMDEPYC755248-Core,*****,*****,*****,9045.0
AMDEPYC75F332-Core,*****,*****,*****,6804.0
AMDEPYC760132-Core,****,*****,*****,9060.0
AMDEPYC764248-Core,*****,*****,*****,4775.0
AMDEPYC764348-Core,*****,*****,*****,4995.0
AMDEPYC766264-Core,*****,*****,*****,7000.0
AMDEPYC770264-Core,*****,*****,*****,8000.0
AMDEPYC7702P64-Core,*****,***,*****,4336.0
AMDEPYC771364-Core,*****,*****,*****,7000.0
AMDEPYC774264-Core,*****,*****,*****,5825.0
AMDEPYC776364-Core,*****,*****,*****,7890.0
AMDEPYC7F328-Core,*****,*****,*****,2100.0
AMDEPYC7F5216-Core,*****,*****,*****,3100.0
AMDEPYC7F7224-Core,*****,*****,*****,2450.0
AMDFX-4100,**,*,*,26.0
AMDFX-4300,***,*,*,27.0
AMDFX-6100Six-Core,**,*,*,42.0
AMDFX-6300Six-Core,***,****,*,50.0
AMDFX-6350Six-Core,***,*,***,155.0
AMDFX-8120Eight-Core,***,**,**,62.0
AMDFX-8150Eight-Core,*,*****,**,75.0
AMDFX-8320EEight-Core,***,**,***,178.0
AMDFX-8320Eight-Core,**,**,**,73.0
AMDFX-8350Eight-Core,**,*****,***,127.0
AMDFX-8370EEight-Core,***,*****,*,25.0
AMDFX-8370Eight-Core,*,*****,***,220.0
AMDFX-9590Eight-Core,*****,**,****,344.0
AMDG-T56N,*,*,*,35.0
AMDGX-424CCSOC,*,*,**,91.0
AMDOpteron170,*,*,**,75.0
AMDOpteron2356,*,*,**,90.0
AMDOpteron2374HE,*,*,*,27.0
AMDOpteron23xx,*,*,**,65.0
AMDOpteron4386,***,*,*****,480.0
AMDOpteron62xxclass,****,*,**,103.0
AMDOpteron6348,*****,*,*****,1709.0
AMDOpteron6380,***,*,*****,858.0
AMDOpteronX3216APU,**,*,***,230.0
AMDPhenom8650Triple-Core,**,*,*,19.0
AMDPhenom9500,*,*,*,30.0
AMDPhenom9550,***,*,*,30.0
AMDPhenom9650,*,**,*,40.0
AMDPhenom9950,*,*,***,200.0
AMDPhenomIIN620,*,*,*,4.0
AMDPhenomIIX2555,***,*,*,37.0
AMDPhenomIIX2560,**,*,*,24.0
AMDPhenomIIX4820,***,*,*,29.0
AMDPhenomIIX4840,**,*,*,25.0
AMDPhenomIIX4940,***,*,*,38.0
