id,architecture,cpuop-mode,byteorder,cpu,on-linecpulist,threadpercore,corepersocket,socket,numanode,vendorid,cpufamily,model,stepping,frequencyboost,cpumhz,cpumaxmhz,cpuminmhz,bogomips,virtualization,l1dcache,l1icache,l2cache,l3cache,numanode0cpu,vulnerabilityitlbmultihit,vulnerabilityl1tf,vulnerabilitymds,vulnerabilitymeltdown,vulnerabilityspecstorebypass,vulnerabilityspectrev1,vulnerabilityspectrev2,vulnerabilitysrbds,vulnerabilitytsxasyncabort,flags,numanode1cpu,addresssize,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
IntelXeonD-1521,x86_64,32-bit.64-bit,LittleEndian,8,0-7,2,4,1,1,GenuineIntel,6,86,3,,2299.951,2700,800,4799.85,VT-x,32,32,256,6144,0-7,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushdtsacpimmxfxsrssesse2sshttmpbesyscallnxpdpe1gbrdtscplmconstant_tscarch_perfmonpebsbtsrep_goodnoplxtopologynonstop_tscaperfmperfeagerfpupnipclmulqdqdtes64monitords_cplvmxsmxesttm2ssse3sdbgfmacx16xtprpdcmpciddcasse4_1sse4_2x2apicmovbepopcnttsc_deadline_timeraesxsaveavxf16crdrandlahf_lmabm3dnowprefetchepbintel_pttpr_shadowvnmiflexpriorityeptvpidfsgsbasetsc_adjustbmi1hleavx2smepbmi2ermsinvpcidrtmcqmrdseedadxsmapxsaveoptcqm_llccqm_occup_llccqm_mbm_totalcqm_mbm_localdthermidaaratplnpts,,,,,,,
IntelCeleron1037U,x86_64,32-bit.64-bit,LittleEndian,2,0.1,1,2,1,1,GenuineIntel,6,58,9,,1800,1800,800,3591.86,VT-x,32,32,256,2048,0.1,,,,,,,,,,,,,,,,,
IntelCorei5520M,x86_64,32-bit.64-bit,LittleEndian,4,0-3,2,2,1,1,GenuineIntel,6,37,2,,2394.091,,,4787.9,VT-x,32,32,256,3072,0-3,,,,,,,,,,,,,,,,,
AmpereeMAGARMv832-Core,aarch64,,LittleEndian,32,0-31,1,32,1,,,,1,,,,3000,375,100,,,,,,,,,,,,,,,,fpasimdevtstrmaespmullsha1sha2crc32cpuid,,,,,,,
IntelXeonGold6248,x86_64,32-bit.64-bit,LittleEndian,40,0-39,2,20,1,1,GenuineIntel,6,85,7,,1001.385,2501,1000,5000,VT-x,32,32,1024,28160,0-39,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushdtsacpimmxfxsrssesse2sshttmpbesyscallnxpdpe1gbrdtscplmconstant_tscartarch_perfmonpebsbtsrep_goodnoplxtopologynonstop_tsccpuidaperfmperfpnipclmulqdqdtes64monitords_cplvmxsmxesttm2ssse3sdbgfmacx16xtprpdcmpciddcasse4_1sse4_2x2apicmovbepopcntaesxsaveavxf16crdrandlahf_lmabm3dnowprefetchcpuid_faultepbcat_l3cdp_l3invpcid_singleintel_ppinssbdmbaibrsibpbstibptpr_shadowvnmiflexpriorityeptvpidfsgsbasetsc_adjustbmi1hleavx2smepbmi2ermsinvpcidrtmcqmmpxrdt_aavx512favx512dqrdseedadxsmapclflushoptclwbintel_ptavx512cdavx512bwavx512vlxsaveoptxsavecxgetbv1xsavescqm_llccqm_occup_llccqm_mbm_totalcqm_mbm_localdthermidaaratplnptspkuospkeavx512_vnniarch_capabilities,,,,,,,
2xAMDOpteron6172,x86_64,64-bit,,24,,1,12,,4,AuthenticAMD,16,9,1,,800,,,,AMD-V,64,64,512,5118,,,,,,,,,,,,,,,,,,
IntelCorei7-6700,x86_64,32-bit.64-bit,LittleEndian,8,0-7,2,4,1,1,GenuineIntel,6,94,3,,3699.89,,,6816.61,VT-x,32,32,256,8192,0-7,,,,,,,,,,,,,,,,,
2xIntelXeonE5-2660v4,x86_64,32-bit.64-bit,LittleEndian,56,0-55,2,14,2,2,GenuineIntel,6,79,1,,1723.281,,,3996.13,VT-x,32,32,256,35840,0-13.28-41,,,,,,,,,,,14-27.42-55,,,,,,
AMDOpteron4386,x86_64,32-bit.64-bit,LittleEndian,8,0-7,2,4,1,1,AuthenticAMD,21,2,0,,1400,,,6199.85,AMD-V,16,64,2048,8192,0-7,,,,,,,,,,,,,,,,,
IntelCorei5-3380M,x86_64,32-bit.64-bit,LittleEndian,4,0-3,2,2,1,1,GenuineIntel,6,58,,,2900,,,5786.68,VT-x,32,32,256,3072,0-3,,,,,,,,,,,,,,,,,
4xAMDOpteron6378,x86_64,32-bit.64-bit,LittleEndian,64,0-63,2,8,4,8,AuthenticAMD,21,2,0,,2400,,,4799.5,AMD-V,16,64,2048,6144,0-7,,,,,,,,,,,8-15,,,,,,
IntelCore2DuoT9600,x86_64,32-bit.64-bit,LittleEndian,2,0.1,1,2,1,1,GenuineIntel,6,23,10,,2801,,,5585.96,VT-x,32,32,6144,,0.1,,,,,,,,,,,,,,,,,
AMDRyzen75700U,x86_64,32-bit.64-bit,LittleEndian,16,0-15,2,8,1,1,AuthenticAMD,23,104,1,enabled,1400,4369.9209,1400,3593.14,AMD-V,256,256,4000,8000,0-15,Notaffected,Notaffected,Notaffected,Notaffected,Mitigation,SpeculativeStoreBypassdisabledviaprctlandseccomp,Mitigation,usercopy/swapgsbarriersand__userpointersanitization,Mitigation;FullAMDretpoline.IBPBconditional.IBRS_FW.STIBPconditional.RSBfilling,Notaffected,Notaffected,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushmmxfxsrssesse2htsyscallnxmmxextfxsr_optpdpe1gbrdtscplmconstant_tscrep_goodnoplnonstop_tsccpuidextd_apicidaperfmperfpnipclmulqdqmonitorssse3fmacx16sse4_1sse4_2movbepopcntaesxsaveavxf16crdrandlahf_lmcmp_legacysvmextapiccr8_legacyabmsse4amisalignsse3dnowprefetchosvwibsskinitwdttcetopoextperfctr_coreperfctr_nbbpextperfctr_llcmwaitxcpbcat_l3cdp_l3hw_pstatessbdmbaibrsibpbstibpvmmcallfsgsbasebmi1avx2smepbmi2cqmrdt_ardseedadxsmapclflushoptclwbsha_nixsaveoptxsavecxgetbv1xsavescqm_llccqm_occup_llccqm_mbm_totalcqm_mbm_localclzeroirperfxsaveerptrrdpruwbnoinvdaratnptlbrvsvm_locknrip_savetsc_scalevmcb_cleanflushbyasiddecodeassistspausefilterpfthresholdavicv_vmsave_vmloadvgifumiprdpidoverflow_recovsuccorsmca,,48-48,,,
AMDGX-424CCSOC,x86_64,32-bit.64-bit,LittleEndian,4,0-3,1,4,1,1,AuthenticAMD,22,48,1,,1000,2400,1000,4790.7,AMD-V,32,32,2048,,0-3,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushmmxfxsrssesse2htsyscallnxmmxextfxsr_optpdpe1gbrdtscplmconstant_tscrep_goodacc_powernoplnonstop_tsccpuidextd_apicidaperfmperfpnipclmulqdqmonitorssse3cx16sse4_1sse4_2movbepopcntaesxsaveavxf16crdrandlahf_lmcmp_legacysvmextapiccr8_legacyabmsse4amisalignsse3dnowprefetchosvwibsskinitwdttopoextperfctr_nbbpextptscperfctr_l2hw_pstateretpolineretpoline_amdrsb_ctxswvmmcallbmi1xsaveoptaratnptlbrvsvm_locknrip_savetsc_scaleflushbyasiddecodeassistspausefilterpfthresholdoverflow_recov,,,,,,,
IntelCorei7-3820,x86_64,32-bit.64-bit,LittleEndian,8,0-7,2,4,1,1,GenuineIntel,6,45,7,,5901,,,7530.95,VT-x,32,32,256,10240,0-7,,,,,,,,,,,,,,,,,
AmpereARMv8Neoverse-N1128-Core,aarch64,32-bit.64-bit,LittleEndian,256,0-127,1,128,1,2,ARM,,1,,disabled,,3000,1000,50,,8000,8000,128000,,0-127,Notaffected,Notaffected,Notaffected,Notaffected,Mitigation,SpeculativeStoreBypassdisabledviaprctl,Mitigation,__userpointersanitization,Notaffected,Notaffected,Notaffected,fpasimdevtstrmaespmullsha1sha2crc32atomicsfphpasimdhpcpuidasimdrdmlrcpcdcpopasimddpssbs,,,,,
8xIntelXeonE5620,x86_64,64-bit,,8,,1,1,,,GenuineIntel,6,44,2,,2400.154,,,,,32,32,256,12288,,,,,,,,,,,,,,,,,,
IntelXeonE3-1220v3,x86_64,32-bit.64-bit,LittleEndian,4,0-3,1,4,1,1,GenuineIntel,6,60,3,,1299.865,3500,800,6200.25,VT-x,32,32,256,8192,0-3,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushdtsacpimmxfxsrssesse2sshttmpbesyscallnxpdpe1gbrdtscplmconstant_tscarch_perfmonpebsbtsrep_goodnoplxtopologynonstop_tscaperfmperfeagerfpupnipclmulqdqdtes64monitords_cplvmxsmxesttm2ssse3sdbgfmacx16xtprpdcmpcidsse4_1sse4_2x2apicmovbepopcnttsc_deadline_timeraesxsaveavxf16crdrandlahf_lmabmepbtpr_shadowvnmiflexpriorityeptvpidfsgsbasetsc_adjustbmi1avx2smepbmi2ermsinvpcidxsaveoptdthermidaaratplnpts,,,,,,,
2xIntelXeonE5-2696v3,x86_64,32-bit.64-bit,LittleEndian,36,0-35,1,18,2,1,GenuineIntel,6,63,2,,2754.699,,,4599.45,VT-x,32,32,256,46080,0-35,,,,,,,,,,,,,,,,,
IntelCorei5-2500K,x86_64,32-bit.64-bit,LittleEndian,4,0-3,1,4,1,1,GenuineIntel,6,42,7,,1600,,,6585,VT-x,32,32,256,6144,0-3,,,,,,,,,,,,,,,,,
IntelPentiumE5500,x86_64,32-bit.64-bit,,2,,1,2,,0,GenuineIntel,6,23,10,,2801.106,,,,VT-x,32,32,2048,,,,,,,,,,,,,,,,,,,
AMDAthlon5350APUwithRadeonR3,x86_64,32-bit.64-bit,LittleEndian,4,0-3,1,4,1,,AuthenticAMD,22,0,1,,800,2050,800,4092.36,AMD-V,32,32,2048,,,,,,,,,,,,,,,,,,,
IntelXeonE5-1650v4,x86_64,32-bit.64-bit,LittleEndian,6,0-5,1,6,1,1,GenuineIntel,6,79,1,,3595.857,,,7191.71,VT-x,32,32,256,15360,0-5,,,,,,,,,,,,,,,,,
IntelCorei5-4440S,,32-bit.64-bit,,4,0-3,,,,1,GenuineIntel,,,3,,,,,5586.88,,32,32,256,6144,0-3,,,,,,,,,,,,,,,,,
2xIntelXeonE5-2690v2,x86_64,32-bit.64-bit,LittleEndian,40,0-39,2,10,2,2,GenuineIntel,6,62,4,,3001.171,,,6006.03,VT-x,32,32,256,25600,0-9.20-29,,,,,,,,,,,10-19.30-39,,,,,,
IntelXeonE3-1240V2,x86_64,32-bit.64-bit,LittleEndian,8,0-7,2,4,1,1,GenuineIntel,6,58,9,,1883.447,3800,1600,6787.55,VT-x,32,32,256,8192,0-7,,,,,,,,,,,,,,,,,
AMDEPYC770264-Core,x86_64,32-bit.64-bit,LittleEndian,128,0-127,2,64,1,1,AuthenticAMD,23,49,0,enabled,1417.411,2000,1500,3992.54,AMD-V,2000,2000,32000,256000,0-127,Notaffected,Notaffected,Notaffected,Notaffected,Mitigation,SpeculativeStoreBypassdisabledviaprctlandseccomp,Mitigation,usercopy/swapgsbarriersand__userpointersanitization,Mitigation;FullAMDretpoline.IBPBconditional.IBRS_FW.STIBPalways-on.RSBfilling,Notaffected,Notaffected,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushmmxfxsrssesse2htsyscallnxmmxextfxsr_optpdpe1gbrdtscplmconstant_tscrep_goodnoplnonstop_tsccpuidextd_apicidaperfmperfpnipclmulqdqmonitorssse3fmacx16sse4_1sse4_2movbepopcntaesxsaveavxf16crdrandlahf_lmcmp_legacysvmextapiccr8_legacyabmsse4amisalignsse3dnowprefetchosvwibsskinitwdttcetopoextperfctr_coreperfctr_nbbpextperfctr_llcmwaitxcpbcat_l3cdp_l3hw_pstatesmessbdmbasevibrsibpbstibpvmmcallfsgsbasebmi1avx2smepbmi2cqmrdt_ardseedadxsmapclflushoptclwbsha_nixsaveoptxsavecxgetbv1xsavescqm_llccqm_occup_llccqm_mbm_totalcqm_mbm_localclzeroirperfxsaveerptrrdpruwbnoinvdaratnptlbrvsvm_locknrip_savetsc_scalevmcb_cleanflushbyasiddecodeassistspausefilterpfthresholdavicv_vmsave_vmloadvgifumiprdpidoverflow_recovsuccorsmca,,43-48,,,
AMDRyzen31300X,x86_64,32-bit.64-bit,LittleEndian,4,0-3,1,4,1,1,AuthenticAMD,23,1,1,,2437.5,3500,1550,6986.22,AMD-V,32,64,512,4096,0-3,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushmmxfxsrssesse2htsyscallnxmmxextfxsr_optpdpe1gbrdtscplmconstant_tscrep_goodnoplnonstop_tsccpuidextd_apicidaperfmperfpnipclmulqdqmonitorssse3fmacx16sse4_1sse4_2movbepopcntaesxsaveavxf16crdrandlahf_lmcmp_legacysvmextapiccr8_legacyabmsse4amisalignsse3dnowprefetchosvwskinitwdttcetopoextperfctr_coreperfctr_nbbpextperfctr_llcmwaitxcpbhw_pstatesmevmmcallfsgsbasebmi1avx2smepbmi2rdseedadxsmapclflushoptsha_nixsaveoptxsavecxgetbv1xsavesclzeroirperfxsaveerptraratnptlbrvsvm_locknrip_savetsc_scalevmcb_cleanflushbyasiddecodeassistspausefilterpfthresholdavicv_vmsave_vmloadvgifoverflow_recovsuccorsmca,,,,,,,
IntelXeonE5504,x86_64,32-bit.64-bit,LittleEndian,4,0-3,1,4,1,1,GenuineIntel,6,26,5,,2000.069,,,4000,VT-x,32,32,256,4096,0-3,,,,,,,,,,,,,,,,,
AMDFX-6100Six-Core,x86_64,32-bit.64-bit,LittleEndian,6,0-5,2,3,1,1,AuthenticAMD,21,1,2,,4026.967,,,8058.9,AMD-V,16,64,2048,8192,0-5,,,,,,,,,,,,,,,,,
ARMv8Cortex-A736-Core,aarch64,32-bit.64-bit,LittleEndian,6,0-5,1,3,2,,ARM,,4,,,,1896,100,48,,,,,,,,,,,,,,,,fpasimdevtstrmaespmullsha1sha2crc32,,,,,,,
IntelAtomx5-Z8350,x86_64,32-bit.64-bit,LittleEndian,4,0-3,1,4,1,1,GenuineIntel,6,76,4,,1679.962,1920,480,2879.89,VT-x,,,,,0-3,,,,,,,,,,,,,,,,,
IntelXeonE31220,x86_64,32-bit.64-bit,,4,,1,4,,1,GenuineIntel,6,42,7,,1600,,,,VT-x,32,32,256,8192,,,,,,,,,,,,,,,,,,
POWER9altivecsupported64-Core,ppc64le,,LittleEndian,64,0-63,4,8,2,2,,,2.2,,,,3800,2154,,,32,32,512,10240,0-31,,,,,,,,,,,,,,,,,
IntelCorei5-7500,x86_64,32-bit.64-bit,LittleEndian,1,0,1,1,1,1,GenuineIntel,6,158,9,,3400,,,6816,VT-x,32,32,256,6144,0,,,,,,,,,,,,,,,,,
AMDA6-4400MAPU,x86_64,32-bit.64-bit,LittleEndian,2,0.1,2,1,1,,AuthenticAMD,21,16,,,2700,,,5390.3,AMD-V,16,64,1024,,,,,,,,,,,,,,,,,,,
IntelXeonGold6250,x86_64,32-bit.64-bit,LittleEndian,16,0-15,2,8,1,1,GenuineIntel,6,85,7,,1200.22,4500,1200,7800,VT-x,32,32,1024,36608,0-15,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushdtsacpimmxfxsrssesse2sshttmpbesyscallnxpdpe1gbrdtscplmconstant_tscartarch_perfmonpebsbtsrep_goodnoplxtopologynonstop_tsccpuidaperfmperfpnipclmulqdqdtes64monitords_cplvmxsmxesttm2ssse3sdbgfmacx16xtprpdcmpciddcasse4_1sse4_2x2apicmovbepopcnttsc_deadline_timeraesxsaveavxf16crdrandlahf_lmabm3dnowprefetchcpuid_faultepbcat_l3cdp_l3invpcid_singlessbdmbaibrsibpbstibpibrs_enhancedtpr_shadowvnmiflexpriorityeptvpidept_adfsgsbasetsc_adjustbmi1hleavx2smepbmi2ermsinvpcidcqmmpxrdt_aavx512favx512dqrdseedadxsmapclflushoptclwbintel_ptavx512cdavx512bwavx512vlxsaveoptxsavecxgetbv1xsavescqm_llccqm_occup_llccqm_mbm_totalcqm_mbm_localdthermidaaratplnptshwphwp_act_windowhwp_epphwp_pkg_reqpkuospkeavx512_vnnimd_clearflush_l1darch_capabilities,,,,,,,
2xIntelXeonE5-2620v2,x86_64,32-bit.64-bit,LittleEndian,24,0-23,2,6,2,2,GenuineIntel,6,62,4,,1200,,,4199.93,VT-x,32,32,256,15360,0-5.12-17,,,,,,,,,,,6-11.18-23,,,,,,
IntelCorei7-2670QM,x86_64,32-bit.64-bit,LittleEndian,8,0-7,2,4,1,1,GenuineIntel,6,42,7,,800,,,4390.01,VT-x,32,32,256,6144,0-7,,,,,,,,,,,,,,,,,
AMDEPYC7232P8-Core,x86_64,32-bit.64-bit,LittleEndian,16,0-15,2,8,1,1,AuthenticAMD,23,49,0,enabled,1495.916,3100,1500,6188.32,AMD-V,256,256,4000,32000,0-15,Notaffected,Notaffected,Notaffected,Notaffected,Mitigation,SpeculativeStoreBypassdisabledviaprctlandseccomp,Mitigation,usercopy/swapgsbarriersand__userpointersanitization,Mitigation;FullAMDretpoline.IBPBconditional.IBRS_FW.STIBPalways-on.RSBfilling,Notaffected,Notaffected,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushmmxfxsrssesse2htsyscallnxmmxextfxsr_optpdpe1gbrdtscplmconstant_tscrep_goodnoplnonstop_tsccpuidextd_apicidaperfmperfpnipclmulqdqmonitorssse3fmacx16sse4_1sse4_2movbepopcntaesxsaveavxf16crdrandlahf_lmcmp_legacysvmextapiccr8_legacyabmsse4amisalignsse3dnowprefetchosvwibsskinitwdttcetopoextperfctr_coreperfctr_nbbpextperfctr_llcmwaitxcpbcat_l3cdp_l3hw_pstatesmessbdmbasevibrsibpbstibpvmmcallfsgsbasebmi1avx2smepbmi2cqmrdt_ardseedadxsmapclflushoptclwbsha_nixsaveoptxsavecxgetbv1xsavescqm_llccqm_occup_llccqm_mbm_totalcqm_mbm_localclzeroirperfxsaveerptrrdpruwbnoinvdaratnptlbrvsvm_locknrip_savetsc_scalevmcb_cleanflushbyasiddecodeassistspausefilterpfthresholdavicv_vmsave_vmloadvgifumiprdpidoverflow_recovsuccorsmca,,43-48,,,
2xAMDEPYC755248-Core,x86_64,32-bit.64-bit,LittleEndian,192,0-191,2,48,2,2,AuthenticAMD,23,49,0,,1794.687,2200,1500,4392.23,AMD-V,32,32,512,16384,0-47.96-143,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushmmxfxsrssesse2htsyscallnxmmxextfxsr_optpdpe1gbrdtscplmconstant_tscrep_goodnoplnonstop_tsccpuidextd_apicidaperfmperfpnipclmulqdqmonitorssse3fmacx16sse4_1sse4_2movbepopcntaesxsaveavxf16crdrandlahf_lmcmp_legacysvmextapiccr8_legacyabmsse4amisalignsse3dnowprefetchosvwibsskinitwdttcetopoextperfctr_coreperfctr_nbbpextperfctr_llcmwaitxcpbcat_l3cdp_l3hw_pstatesmessbdmbasevibrsibpbstibpvmmcallfsgsbasebmi1avx2smepbmi2cqmrdt_ardseedadxsmapclflushoptclwbsha_nixsaveoptxsavecxgetbv1xsavescqm_llccqm_occup_llccqm_mbm_totalcqm_mbm_localclzeroirperfxsaveerptrwbnoinvdaratnptlbrvsvm_locknrip_savetsc_scalevmcb_cleanflushbyasiddecodeassistspausefilterpfthresholdavicv_vmsave_vmloadvgifumiprdpidoverflow_recovsuccorsmca,48-95.144-191,,,,,,
IntelXeonE3-1230v3,x86_64,32-bit.64-bit,LittleEndian,8,0-7,2,4,1,1,GenuineIntel,6,60,3,,800,,,6584.44,VT-x,32,32,256,8192,0-7,,,,,,,,,,,,,,,,,
IntelPentiumSilverJ5005,,32-bit.64-bit,,4,0-3,,,,1,,,,,,,2800,800,2995.2,,96,128,4000,,0-3,Notaffected,Notaffected,Notaffected,Mitigation,PTI,Mitigation,SpeculativeStoreBypassdisabledviaprctlandseccomp,Mitigation,usercopy/swapgsbarriersand__userpointersanitization,Mitigation;EnhancedIBRS.IBPBconditional.RSBfilling,Notaffected,Notaffected,,,39-48,,
