id,architecture,cpuop-mode,byteorder,cpu,on-linecpulist,threadpercore,corepersocket,socket,numanode,vendorid,cpufamily,model,stepping,frequencyboost,cpumhz,cpumaxmhz,cpuminmhz,bogomips,virtualization,l1dcache,l1icache,l2cache,l3cache,numanode0cpu,vulnerabilityitlbmultihit,vulnerabilityl1tf,vulnerabilitymds,vulnerabilitymeltdown,vulnerabilityspecstorebypass,vulnerabilityspectrev1,vulnerabilityspectrev2,vulnerabilitysrbds,vulnerabilitytsxasyncabort,flags,numanode1cpu,addresssize,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
2xIntelXeonE5-2690v4,x86_64,32-bit.64-bit,LittleEndian,56,0-55,2,14,2,2,GenuineIntel,6,79,1,,1720.062,,,5189.7,VT-x,32,32,256,35840,0-13.28-41,,,,,,,,,,,14-27.42-55,,,,,,
ARMv8Neoverse-N12-Core,aarch64,,LittleEndian,2,0.1,1,2,1,1,,,1,,,,,,243.75,,64,64,1024,32768,0.1,,,,,,,,,,fpasimdevtstrmaespmullsha1sha2crc32atomicsfphpasimdhpcpuidasimdrdmlrcpcdcpopasimddpssbs,,,,,,,
IntelCorei9-11900K,x86_64,32-bit.64-bit,LittleEndian,16,0-15,2,8,1,1,GenuineIntel,6,167,1,,3500,5300,800,7008,,384,256,4000,16000,0-15,Notaffected,Notaffected,Notaffected,Notaffected,Mitigation,SpeculativeStoreBypassdisabledviaprctlandseccomp,Mitigation,usercopy/swapgsbarriersand__userpointersanitization,Mitigation;EnhancedIBRS.IBPBconditional.RSBfilling,Notaffected,Notaffected,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushdtsacpimmxfxsrssesse2sshttmpbesyscallnxpdpe1gbrdtscplmconstant_tscartarch_perfmonpebsbtsrep_goodnoplxtopologynonstop_tsccpuidaperfmperftsc_known_freqpnipclmulqdqdtes64monitords_cplsmxesttm2ssse3sdbgfmacx16xtprpdcmpcidsse4_1sse4_2x2apicmovbepopcnttsc_deadline_timeraesxsaveavxf16crdrandlahf_lmabm3dnowprefetchcpuid_faultepbinvpcid_singlessbdibrsibpbstibpibrs_enhancedfsgsbasetsc_adjustbmi1avx2smepbmi2ermsinvpcidmpxavx512favx512dqrdseedadxsmapavx512ifmaclflushoptintel_ptavx512cdsha_niavx512bwavx512vlxsaveoptxsavecxgetbv1xsavesdthermidaaratplnptshwphwp_notifyhwp_act_windowhwp_epphwp_pkg_reqavx512vbmiumippkuospkeavx512_vbmi2gfnivaesvpclmulqdqavx512_vnniavx512_bitalgavx512_vpopcntdqrdpidfsrmmd_clearflush_l1darch_capabilities,,39-48,,,
ARMv8rev08-Core,aarch64,,LittleEndian,8,0-7,1,2,4,,Nvidia,,0,,,,2265.6001,115.2,62.5,,64,128,2048,4096,,,,,,,,,,,fpasimdevtstrmaespmullsha1sha2crc32atomicsfphpasimdhp,,,,,,,
IntelPentiumG3240,x86_64,32-bit.64-bit,LittleEndian,2,0.1,1,2,1,1,GenuineIntel,6,60,,,3100,,,6185.8,VT-x,32,32,256,3072,0.1,,,,,,,,,,,,,,,,,
IntelXeonD-2146NT,x86_64,32-bit.64-bit,LittleEndian,8,0-7,2,4,1,1,GenuineIntel,6,85,4,,1000,2301,1000,4600,VT-x,32,32,1024,11264,0-7,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushdtsacpimmxfxsrssesse2sshttmpbesyscallnxpdpe1gbrdtscplmconstant_tscartarch_perfmonpebsbtsrep_goodnoplxtopologynonstop_tscaperfmperfeagerfpupnipclmulqdqdtes64monitords_cplvmxsmxesttm2ssse3sdbgfmacx16xtprpdcmpciddcasse4_1sse4_2x2apicmovbepopcnttsc_deadline_timeraesxsaveavxf16crdrandlahf_lmabm3dnowprefetchepbcat_l3cdp_l3intel_ppinintel_ptssbdmbaibrsibpbstibptpr_shadowvnmiflexpriorityeptvpidfsgsbasetsc_adjustbmi1hleavx2smepbmi2ermsinvpcidrtmcqmmpxrdt_aavx512favx512dqrdseedadxsmapclflushoptclwbavx512cdavx512bwavx512vlxsaveoptxsavecxgetbv1cqm_llccqm_occup_llccqm_mbm_totalcqm_mbm_localdthermidaaratplnptspkuospkespec_ctrlintel_stibpflush_l1d,,,,,,,
IntelCorei7-4810MQ,x86_64,32-bit.64-bit,LittleEndian,8,0-7,2,4,1,1,GenuineIntel,6,60,3,,2478.328,3800,800,5587.08,VT-x,32,32,256,6144,0-7,,,,,,,,,,,,,,,,,
IntelCorei9-7980XE,x86_64,32-bit.64-bit,LittleEndian,36,0-35,2,18,1,1,GenuineIntel,6,85,4,,2600,4400,1200,5400,VT-x,32,32,1024,25344,0-35,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushdtsacpimmxfxsrssesse2sshttmpbesyscallnxpdpe1gbrdtscplmconstant_tscartarch_perfmonpebsbtsrep_goodnoplxtopologynonstop_tsccpuidaperfmperftsc_known_freqpnipclmulqdqdtes64monitords_cplvmxesttm2ssse3sdbgfmacx16xtprpdcmpciddcasse4_1sse4_2x2apicmovbepopcnttsc_deadline_timeraesxsaveavxf16crdrandlahf_lmabm3dnowprefetchcpuid_faultepbcat_l3cdp_l3invpcid_singleptiintel_ptmbatpr_shadowvnmiflexpriorityeptvpidfsgsbasetsc_adjustbmi1hleavx2smepbmi2ermsinvpcidrtmcqmmpxrdt_aavx512favx512dqrdseedadxsmapclflushoptclwbavx512cdavx512bwavx512vlxsaveoptxsavecxgetbv1xsavescqm_llccqm_occup_llccqm_mbm_totalcqm_mbm_localdthermidaaratplnptshwphwp_act_windowhwp_epphwp_pkg_req,,,,,,,
IntelCorei5-2540M,x86_64,32-bit.64-bit,LittleEndian,1,0,1,1,,,GenuineIntel,6,42,7,,2600,,,5188.38,,32,32,256,3072,,,,,,,,,,,,,,,,,,
AMDRyzen52600XSix-Core,x86_64,32-bit.64-bit,LittleEndian,12,0-11,2,6,1,1,AuthenticAMD,23,8,2,,3972.777,3600,2200,7185.63,AMD-V,32,64,512,8192,0-11,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushmmxfxsrssesse2htsyscallnxmmxextfxsr_optpdpe1gbrdtscplmconstant_tscrep_goodnoplnonstop_tsccpuidextd_apicidaperfmperfpnipclmulqdqmonitorssse3fmacx16sse4_1sse4_2movbepopcntaesxsaveavxf16crdrandlahf_lmcmp_legacysvmextapiccr8_legacyabmsse4amisalignsse3dnowprefetchosvwskinitwdttcetopoextperfctr_coreperfctr_nbbpextperfctr_llcmwaitxcpbhw_pstatesmesevvmmcallfsgsbasebmi1avx2smepbmi2rdseedadxsmapclflushoptsha_nixsaveoptxsavecxgetbv1xsavesclzeroirperfxsaveerptribpbaratnptlbrvsvm_locknrip_savetsc_scalevmcb_cleanflushbyasiddecodeassistspausefilterpfthresholdavicv_vmsave_vmloadvgifoverflow_recovsuccorsmca,,,,,,,
AMDAthlonIIX4620,i686,64-bit,,4,,1,4,,,AuthenticAMD,16,5,2,,800,,,,AMD-V,64,64,512,,,,,,,,,,,,,,,,,,,
AMDEPYC755248-Core,x86_64,32-bit.64-bit,LittleEndian,96,0-95,2,48,1,1,AuthenticAMD,23,49,0,enabled,1340.999,2200,1500,4391.96,AMD-V,1.5,1.5,24000,192000,0-95,Notaffected,Notaffected,Notaffected,Notaffected,Mitigation,SpeculativeStoreBypassdisabledviaprctlandseccomp,Mitigation,usercopy/swapgsbarriersand__userpointersanitization,Mitigation;FullAMDretpoline.IBPBconditional.IBRS_FW.STIBPalways-on.RSBfilling,Notaffected,Notaffected,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushmmxfxsrssesse2htsyscallnxmmxextfxsr_optpdpe1gbrdtscplmconstant_tscrep_goodnoplnonstop_tsccpuidextd_apicidaperfmperfpnipclmulqdqmonitorssse3fmacx16sse4_1sse4_2movbepopcntaesxsaveavxf16crdrandlahf_lmcmp_legacysvmextapiccr8_legacyabmsse4amisalignsse3dnowprefetchosvwibsskinitwdttcetopoextperfctr_coreperfctr_nbbpextperfctr_llcmwaitxcpbcat_l3cdp_l3hw_pstatesmessbdmbasevibrsibpbstibpvmmcallfsgsbasebmi1avx2smepbmi2cqmrdt_ardseedadxsmapclflushoptclwbsha_nixsaveoptxsavecxgetbv1xsavescqm_llccqm_occup_llccqm_mbm_totalcqm_mbm_localclzeroirperfxsaveerptrrdpruwbnoinvdaratnptlbrvsvm_locknrip_savetsc_scalevmcb_cleanflushbyasiddecodeassistspausefilterpfthresholdavicv_vmsave_vmloadvgifumiprdpidoverflow_recovsuccorsmca,,43-48,,,
AMDRyzen71800XEight-Core,x86_64,32-bit.64-bit,LittleEndian,16,0-15,2,8,1,1,AuthenticAMD,23,1,1,,2200,3600,2200,7186.43,AMD-V,32,64,512,8192,0-15,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushmmxfxsrssesse2htsyscallnxmmxextfxsr_optpdpe1gbrdtscplmconstant_tscrep_goodnoplnonstop_tscextd_apicidaperfmperfpnipclmulqdqmonitorssse3fmacx16sse4_1sse4_2movbepopcntaesxsaveavxf16crdrandlahf_lmcmp_legacysvmextapiccr8_legacyabmsse4amisalignsse3dnowprefetchosvwskinitwdttcetopoextperfctr_coreperfctr_nbbpextperfctr_l2mwaitxhw_pstatevmmcallfsgsbasebmi1avx2smepbmi2rdseedadxsmapclflushoptsha_nixsaveoptxsavecxgetbv1xsavesclzeroirperfaratnptlbrvsvm_locknrip_savetsc_scalevmcb_cleanflushbyasiddecodeassistspausefilterpfthresholdavicoverflow_recovsuccorsmca,,,,,,,
IntelPentium43.20GHz,i686,32-bit,LittleEndian,2,0.1,2,1,1,,GenuineIntel,15,3,4,,3192.219,,,6384.43,,16,,1024,,,,,,,,,,,,,,,,,,,
AmpereAltraARMv8Neoverse-N180-Core,aarch64,32-bit.64-bit,LittleEndian,160,0-79,1,80,1,8,ARM,,1,,enabled,,3300,1000,50,,5000,5000,80000,,0-19,Notaffected,Notaffected,Notaffected,Notaffected,Mitigation,SpeculativeStoreBypassdisabledviaprctl,Mitigation,__userpointersanitization,Notaffected,Notaffected,Notaffected,fpasimdevtstrmaespmullsha1sha2crc32atomicsfphpasimdhpcpuidasimdrdmlrcpcdcpopasimddpssbs,20-39,,,,
IntelXeonE5-2450L0,x86_64,32-bit.64-bit,LittleEndian,16,0-15,2,8,1,1,GenuineIntel,6,45,7,,1200,1800,1200,3591.5,VT-x,32,32,256,20480,0-15,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushdtsacpimmxfxsrssesse2sshttmpbesyscallnxpdpe1gbrdtscplmconstant_tscarch_perfmonpebsbtsrep_goodnoplxtopologynonstop_tscaperfmperfeagerfpupnipclmulqdqdtes64monitords_cplvmxsmxesttm2ssse3cx16xtprpdcmpciddcasse4_1sse4_2x2apicpopcnttsc_deadline_timeraesxsaveavxlahf_lmepbkaisertpr_shadowvnmiflexpriorityeptvpidxsaveoptdthermidaaratplnpts,,,,,,,
IntelXeonPlatinum8124M,x86_64,32-bit.64-bit,LittleEndian,16,0-15,2,8,1,1,GenuineIntel,6,85,3,,3000,,,6000,,32,32,1024,25344,0-15,,,,,,,,,,,,,,,,,
IntelCorei7-6820HQ,x86_64,32-bit.64-bit,LittleEndian,8,0-7,2,4,1,1,GenuineIntel,6,94,3,,799.98,3600,800,5423.88,VT-x,32,32,256,8192,0-7,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushdtsacpimmxfxsrssesse2sshttmpbesyscallnxpdpe1gbrdtscplmconstant_tscartarch_perfmonpebsbtsrep_goodnoplxtopologynonstop_tscaperfmperfeagerfpupnipclmulqdqdtes64monitords_cplvmxsmxesttm2ssse3sdbgfmacx16xtprpdcmpcidsse4_1sse4_2x2apicmovbepopcnttsc_deadline_timeraesxsaveavxf16crdrandlahf_lmabm3dnowprefetchepbintel_pttpr_shadowvnmiflexpriorityeptvpidfsgsbasetsc_adjustbmi1hleavx2smepbmi2ermsinvpcidrtmmpxrdseedadxsmapclflushoptxsaveoptxsavecxgetbv1dthermidaaratplnptshwphwp_notifyhwp_act_windowhwp_epp,,,,,,,
IntelXeonX3450,x86_64,32-bit.64-bit,LittleEndian,8,0-7,2,4,1,1,GenuineIntel,6,30,5,,2660.155,,,5320.31,VT-x,32,32,256,8192,0-7,,,,,,,,,,,,,,,,,
ARMv8rev36-Core,aarch64,,LittleEndian,6,0.3-5,1,4,1,,,,,,,,2035.2,345.6,,,32,48,2048,,,,,,,,,,,,,,,,,,,
2xIntelXeonE5-2698v3,x86_64,32-bit.64-bit,LittleEndian,64,0-63,2,16,2,2,GenuineIntel,6,63,2,,1199.975,3600,1200,4589.58,VT-x,32,32,256,40960,0-15.32-47,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushdtsacpimmxfxsrssesse2sshttmpbesyscallnxpdpe1gbrdtscplmconstant_tscarch_perfmonpebsbtsrep_goodnoplxtopologynonstop_tscaperfmperfeagerfpupnipclmulqdqdtes64monitords_cplvmxsmxesttm2ssse3sdbgfmacx16xtprpdcmpciddcasse4_1sse4_2x2apicmovbepopcnttsc_deadline_timeraesxsaveavxf16crdrandlahf_lmabmepbintel_ppinibrsibpbstibptpr_shadowvnmiflexpriorityeptvpidfsgsbasetsc_adjustbmi1avx2smepbmi2ermsinvpcidcqmxsaveoptcqm_llccqm_occup_llcdthermidaaratplnptsspec_ctrlintel_stibp,16-31.48-63,,,,,,
2xIntelXeonGold6152,x86_64,32-bit.64-bit,LittleEndian,88,0-87,2,22,2,2,GenuineIntel,6,85,4,,1000,2101,1000,4200,VT-x,32,32,1024,30976,0-21.44-65,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushdtsacpimmxfxsrssesse2sshttmpbesyscallnxpdpe1gbrdtscplmconstant_tscartarch_perfmonpebsbtsrep_goodnoplxtopologynonstop_tscaperfmperfeagerfpupnipclmulqdqdtes64monitords_cplvmxsmxesttm2ssse3sdbgfmacx16xtprpdcmpciddcasse4_1sse4_2x2apicmovbepopcnttsc_deadline_timeraesxsaveavxf16crdrandlahf_lmabm3dnowprefetchepbcat_l3cdp_l3intel_ppinintel_ptssbdmbaibrsibpbstibptpr_shadowvnmiflexpriorityeptvpidfsgsbasetsc_adjustbmi1hleavx2smepbmi2ermsinvpcidrtmcqmmpxrdt_aavx512favx512dqrdseedadxsmapclflushoptclwbavx512cdavx512bwavx512vlxsaveoptxsavecxgetbv1cqm_llccqm_occup_llccqm_mbm_totalcqm_mbm_localdthermidaaratplnptspkuospkespec_ctrlintel_stibpflush_l1d,22-43.66-87,,,,,,
IntelCorei7-3770S,x86_64,,LittleEndian,8,0-7,,,1,,,6,58,9,,1600,,,6185.72,,32,32,256,8192,0-7,,,,,,,,,,,,,,,,,
IntelPentiumDualT3200,i686,32-bit.64-bit,LittleEndian,2,0.1,1,2,1,,GenuineIntel,6,15,13,,1000,,,3989.98,,32,32,1024,,,,,,,,,,,,,,,,,,,
IntelAtomC3558,x86_64,32-bit.64-bit,LittleEndian,4,0-3,1,4,1,1,GenuineIntel,6,95,1,,2200.003,2200,800,4400,VT-x,24,32,2048,,0-3,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushdtsacpimmxfxsrssesse2sshttmpbesyscallnxpdpe1gbrdtscplmconstant_tscartarch_perfmonpebsbtsrep_goodnoplxtopologynonstop_tsccpuidaperfmperftsc_known_freqpnipclmulqdqdtes64monitords_cplvmxesttm2ssse3sdbgcx16xtprpdcmsse4_1sse4_2x2apicmovbepopcnttsc_deadline_timeraesxsaverdrandlahf_lm3dnowprefetchcpuid_faultepbcat_l2tpr_shadowvnmiflexpriorityeptvpidfsgsbasetsc_adjustsmepermsmpxrdt_ardseedsmapclflushoptintel_ptsha_nixsaveoptxsavecxgetbv1xsavesibpbibrsstibpdthermaratplnptsarch_capabilities,,,,,,,
AMDRyzenThreadripperPRO3995WX64-Cores,x86_64,32-bit.64-bit,LittleEndian,128,0-127,2,64,1,1,AuthenticAMD,23,49,0,enabled,2200,4308.3979,2200,5389.99,AMD-V,2000,2000,32000,256000,0-127,Notaffected,Notaffected,Notaffected,Notaffected,Mitigation,SpeculativeStoreBypassdisabledviaprctlandseccomp,Mitigation,usercopy/swapgsbarriersand__userpointersanitization,Mitigation;FullAMDretpoline.IBPBconditional.STIBPconditional.RSBfilling,Notaffected,Notaffected,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushmmxfxsrssesse2htsyscallnxmmxextfxsr_optpdpe1gbrdtscplmconstant_tscrep_goodnoplnonstop_tsccpuidextd_apicidaperfmperfpnipclmulqdqmonitorssse3fmacx16sse4_1sse4_2movbepopcntaesxsaveavxf16crdrandlahf_lmcmp_legacysvmextapiccr8_legacyabmsse4amisalignsse3dnowprefetchosvwibsskinitwdttcetopoextperfctr_coreperfctr_nbbpextperfctr_llcmwaitxcpbcat_l3cdp_l3hw_pstatesmessbdmbasevibpbstibpvmmcallsev_esfsgsbasebmi1avx2smepbmi2cqmrdt_ardseedadxsmapclflushoptclwbsha_nixsaveoptxsavecxgetbv1xsavescqm_llccqm_occup_llccqm_mbm_totalcqm_mbm_localclzeroirperfxsaveerptrrdpruwbnoinvdaratnptlbrvsvm_locknrip_savetsc_scalevmcb_cleanflushbyasiddecodeassistspausefilterpfthresholdavicv_vmsave_vmloadvgifumiprdpidoverflow_recovsuccorsmca,,43-48,,,
IntelXeonGold6238,x86_64,32-bit.64-bit,LittleEndian,44,0-43,2,22,1,1,GenuineIntel,6,85,7,,2101,2101,1000,4200,VT-x,32,32,1024,30976,0-43,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushdtsacpimmxfxsrssesse2sshttmpbesyscallnxpdpe1gbrdtscplmconstant_tscartarch_perfmonpebsbtsrep_goodnoplxtopologynonstop_tscaperfmperfeagerfpupnipclmulqdqdtes64monitords_cplvmxsmxesttm2ssse3sdbgfmacx16xtprpdcmpciddcasse4_1sse4_2x2apicmovbepopcnttsc_deadline_timeraesxsaveavxf16crdrandlahf_lmabm3dnowprefetchepbcat_l3cdp_l3intel_ppinintel_ptssbdmbaibrsibpbstibpibrs_enhancedtpr_shadowvnmiflexpriorityeptvpidfsgsbasetsc_adjustbmi1hleavx2smepbmi2ermsinvpcidrtmcqmmpxrdt_aavx512favx512dqrdseedadxsmapclflushoptclwbavx512cdavx512bwavx512vlxsaveoptxsavecxgetbv1cqm_llccqm_occup_llccqm_mbm_totalcqm_mbm_localdthermidaaratplnptspkuospkeavx512_vnnimd_clearspec_ctrlintel_stibpflush_l1darch_capabilities,,,,,,,
IntelCorei5-3570,x86_64,32-bit.64-bit,LittleEndian,4,0-3,1,4,1,,GenuineIntel,6,58,,,3601.476,,,6799.83,VT-x,32,32,256,6144,,,,,,,,,,,,,,,,,,
AMDA6-6310APUwithAMDRadeonR4,x86_64,32-bit.64-bit,LittleEndian,4,0-3,1,4,1,1,AuthenticAMD,22,48,1,,1200,1800,1000,3593.13,AMD-V,32,32,2048,,0-3,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushmmxfxsrssesse2htsyscallnxmmxextfxsr_optpdpe1gbrdtscplmconstant_tscrep_goodacc_powernoplnonstop_tscextd_apicidaperfmperfeagerfpupnipclmulqdqmonitorssse3cx16sse4_1sse4_2movbepopcntaesxsaveavxf16crdrandlahf_lmcmp_legacysvmextapiccr8_legacyabmsse4amisalignsse3dnowprefetchosvwibsskinitwdttopoextperfctr_nbbpextptscperfctr_l2cpbhw_pstatevmmcallbmi1xsaveoptaratnptlbrvsvm_locknrip_savetsc_scaleflushbyasiddecodeassistspausefilterpfthresholdoverflow_recov,,,,,,,
AMDOpteron6348,x86_64,32-bit.64-bit,LittleEndian,12,0-11,2,6,1,2,AuthenticAMD,21,2,0,,1400,,,5599.89,AMD-V,16,64,2048,6144,0-5,,,,,,,,,,,6-11,,,,,,
ARMv8rev14-Core,aarch64,,LittleEndian,4,0-3,1,4,1,,ARM,,1,,,,1479,102,38.4,,32,48,2048,,,,,,,,,,,,fpasimdevtstrmaespmullsha1sha2crc32,,,,,,,
IntelCorei3-8100T,x86_64,32-bit.64-bit,LittleEndian,4,0-3,1,4,1,1,GenuineIntel,6,158,11,,3100,3100,800,6192,VT-x,32,32,256,6144,0-3,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushdtsacpimmxfxsrssesse2sshttmpbesyscallnxpdpe1gbrdtscplmconstant_tscartarch_perfmonpebsbtsrep_goodnoplxtopologynonstop_tsccpuidaperfmperftsc_known_freqpnipclmulqdqdtes64monitords_cplvmxesttm2ssse3sdbgfmacx16xtprpdcmpcidsse4_1sse4_2x2apicmovbepopcnttsc_deadline_timeraesxsaveavxf16crdrandlahf_lmabm3dnowprefetchcpuid_faultepbinvpcid_singleptitpr_shadowvnmiflexpriorityeptvpidfsgsbasetsc_adjustbmi1avx2smepbmi2ermsinvpcidmpxrdseedadxsmapclflushoptintel_ptxsaveoptxsavecxgetbv1xsavesibpbibrsstibpdthermaratplnptshwphwp_notifyhwp_act_windowhwp_epp,,,,,,,
2xIntelXeonE5606,x86_64,32-bit.64-bit,LittleEndian,8,0-7,1,4,,2,GenuineIntel,6,44,2,,2133.338,,,4266.92,VT-x,32,32,256,8192,0.2.4.6,,,,,,,,,,,1.3.5.7,,,,,,
2xAMDEPYC728216-Core,x86_64,32-bit.64-bit,LittleEndian,64,0-63,2,16,2,2,AuthenticAMD,23,49,0,,2416.756,2800,1500,5589.23,AMD-V,32,32,512,16384,0-15.32-47,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushmmxfxsrssesse2htsyscallnxmmxextfxsr_optpdpe1gbrdtscplmconstant_tscrep_goodnoplnonstop_tsccpuidextd_apicidaperfmperfpnipclmulqdqmonitorssse3fmacx16sse4_1sse4_2movbepopcntaesxsaveavxf16crdrandlahf_lmcmp_legacysvmextapiccr8_legacyabmsse4amisalignsse3dnowprefetchosvwibsskinitwdttcetopoextperfctr_coreperfctr_nbbpextperfctr_llcmwaitxcpbcat_l3cdp_l3hw_pstatesmessbdmbasevibrsibpbstibpvmmcallfsgsbasebmi1avx2smepbmi2cqmrdt_ardseedadxsmapclflushoptclwbsha_nixsaveoptxsavecxgetbv1xsavescqm_llccqm_occup_llccqm_mbm_totalcqm_mbm_localclzeroirperfxsaveerptrwbnoinvdaratnptlbrvsvm_locknrip_savetsc_scalevmcb_cleanflushbyasiddecodeassistspausefilterpfthresholdavicv_vmsave_vmloadvgifumiprdpidoverflow_recovsuccorsmca,16-31.48-63,,,,,,
IntelCorei5-3210M,x86_64,32-bit.64-bit,LittleEndian,4,0-3,2,2,1,1,GenuineIntel,6,58,9,,2501,,,4988.35,VT-x,32,32,256,3072,0-3,,,,,,,,,,,,,,,,,
2xIntelXeonSilver4215,x86_64,32-bit.64-bit,LittleEndian,32,0-31,2,8,2,2,GenuineIntel,6,85,6,,1000.061,3500,1000,5000,VT-x,32,32,1024,11264,0-7.16-23,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushdtsacpimmxfxsrssesse2sshttmpbesyscallnxpdpe1gbrdtscplmconstant_tscartarch_perfmonpebsbtsrep_goodnoplxtopologynonstop_tscaperfmperfeagerfpupnipclmulqdqdtes64monitords_cplvmxsmxesttm2ssse3sdbgfmacx16xtprpdcmpciddcasse4_1sse4_2x2apicmovbepopcnttsc_deadline_timeraesxsaveavxf16crdrandlahf_lmabm3dnowprefetchepbcat_l3cdp_l3invpcid_singleintel_ppinintel_ptssbdmbaibrsibpbstibpibrs_enhancedtpr_shadowvnmiflexpriorityeptvpidfsgsbasetsc_adjustbmi1hleavx2smepbmi2ermsinvpcidrtmcqmmpxrdt_aavx512favx512dqrdseedadxsmapclflushoptclwbavx512cdavx512bwavx512vlxsaveoptxsavecxgetbv1cqm_llccqm_occup_llccqm_mbm_totalcqm_mbm_localdthermidaaratplnptshwphwp_act_windowhwp_epphwp_pkg_reqpkuospkeavx512_vnnimd_clearspec_ctrlintel_stibpflush_l1darch_capabilities,8-15.24-31,,,,,,
IntelCorei5-3427U,x86_64,32-bit.64-bit,LittleEndian,4,0-3,2,2,1,1,GenuineIntel,6,58,9,,1800,,,4589.82,VT-x,32,32,256,3072,0-3,,,,,,,,,,,,,,,,,
IntelAtomC3338,x86_64,32-bit.64-bit,LittleEndian,2,0.1,1,2,1,1,GenuineIntel,6,95,1,,1567.206,1501,800,3000,VT-x,24,32,2048,,0.1,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushdtsacpimmxfxsrssesse2sshttmpbesyscallnxpdpe1gbrdtscplmconstant_tscartarch_perfmonpebsbtsrep_goodnoplxtopologynonstop_tsccpuidaperfmperftsc_known_freqpnipclmulqdqdtes64monitords_cplvmxesttm2ssse3sdbgcx16xtprpdcmsse4_1sse4_2x2apicmovbepopcnttsc_deadline_timeraesxsaverdrandlahf_lm3dnowprefetchcpuid_faultepbcat_l2ssbdibrsibpbstibptpr_shadowvnmiflexpriorityeptvpidfsgsbasetsc_adjustsmepermsmpxrdt_ardseedsmapclflushoptintel_ptsha_nixsaveoptxsavecxgetbv1xsavesdthermidaaratplnptsmd_cleararch_capabilities,,,,,,,
IntelXeonD-1527,x86_64,32-bit.64-bit,LittleEndian,8,0-7,2,4,1,1,GenuineIntel,6,86,3,,1299.117,2700,800,4400.28,VT-x,32,32,256,6144,0-7,,,,,,,,,,fpuvmedepsetscmsrpaemcecx8apicsepmtrrpgemcacmovpatpse36clflushdtsacpimmxfxsrssesse2sshttmpbesyscallnxpdpe1gbrdtscplmconstant_tscarch_perfmonpebsbtsrep_goodnoplxtopologynonstop_tscaperfmperfeagerfpupnipclmulqdqdtes64monitords_cplvmxsmxesttm2ssse3sdbgfmacx16xtprpdcmpciddcasse4_1sse4_2x2apicmovbepopcnttsc_deadline_timeraesxsaveavxf16crdrandlahf_lmabm3dnowprefetchepbinvpcid_singleintel_ptspec_ctrlkaisertpr_shadowvnmiflexpriorityeptvpidfsgsbasetsc_adjustbmi1hleavx2smepbmi2ermsinvpcidrtmcqmrdseedadxsmapxsaveoptcqm_llccqm_occup_llccqm_mbm_totalcqm_mbm_localdthermidaaratplnpts,,,,,,,
