,id,count
0,2xAMDEPYC72528-Core,55
1,2xAMDEPYC72628-Core,41
2,2xAMDEPYC727212-Core,35
3,2xAMDEPYC728216-Core,40
4,2xAMDEPYC730116-Core,7
5,2xAMDEPYC730216-Core,20
6,2xAMDEPYC731316-Core,9
7,2xAMDEPYC734316-Core,63
8,2xAMDEPYC735116-Core,4
9,2xAMDEPYC735224-Core,49
10,2xAMDEPYC737116-Core,6
11,2xAMDEPYC73F316-Core,76
12,2xAMDEPYC740124-Core,3
13,2xAMDEPYC740224-Core,40
14,2xAMDEPYC744324-Core,67
15,2xAMDEPYC745124-Core,4
16,2xAMDEPYC745232-Core,38
17,2xAMDEPYC745328-Core,67
18,2xAMDEPYC74F324-Core,35
19,2xAMDEPYC750132-Core,5
20,2xAMDEPYC750232-Core,46
21,2xAMDEPYC751332-Core,76
22,2xAMDEPYC753232-Core,43
23,2xAMDEPYC754232-Core,36
24,2xAMDEPYC754332-Core,33
25,2xAMDEPYC755132-Core,7
26,2xAMDEPYC755248-Core,35
27,2xAMDEPYC75F332-Core,91
28,2xAMDEPYC760132-Core,125
29,2xAMDEPYC764248-Core,46
30,2xAMDEPYC764348-Core,40
31,2xAMDEPYC766356-Core,43
32,2xAMDEPYC770264-Core,7
33,2xAMDEPYC771364-Core,85
34,2xAMDEPYC774264-Core,115
35,2xAMDEPYC776364-Core,130
36,2xAMDEPYC7F328-Core,41
37,2xAMDEPYC7F5216-Core,76
38,2xAMDEPYC7F7224-Core,92
39,2xAMDEPYC7V1264-Core,1
40,2xAMDOpteron23xx,1
41,2xAMDOpteron248,4
42,2xAMDOpteron270,6
43,2xAMDOpteron4170HE,2
44,2xAMDOpteron6172,2
45,2xAMDOpteron6174,2
46,2xAMDOpteron6180SE,7
47,2xAMDOpteron6238,1
48,2xAMDOpteron6272,3
49,2xAMDOpteron6282SE,3
50,2xAMDOpteron6320,1
51,2xAMDOpteron6380,7
52,2xAMDOpteron6386SE,3
53,2xIntel%240000%25,1
54,2xIntel0000,1
55,2xIntel0000%25,1
56,2xIntelXeon2.60GHz,3
57,2xIntelXeon2.80GHz,2
58,2xIntelXeon5140,1
59,2xIntelXeon5150,2
60,2xIntelXeon5160,3
61,2xIntelXeonE312xx,2
62,2xIntelXeonE5-2403v2,18
63,2xIntelXeonE5-24070,1
64,2xIntelXeonE5-24200,2
65,2xIntelXeonE5-2420v2,4
66,2xIntelXeonE5-24300,1
67,2xIntelXeonE5-2450L0,12
68,2xIntelXeonE5-24700,1
69,2xIntelXeonE5-2603v2,4
70,2xIntelXeonE5-26090,6
71,2xIntelXeonE5-26200,7
72,2xIntelXeonE5-2620v2,14
73,2xIntelXeonE5-2620v3,10
74,2xIntelXeonE5-2620v4,14
75,2xIntelXeonE5-26300,11
76,2xIntelXeonE5-2630v2,4
77,2xIntelXeonE5-2630v3,22
78,2xIntelXeonE5-2630v4,28
79,2xIntelXeonE5-2637v2,1
80,2xIntelXeonE5-2637v3,2
81,2xIntelXeonE5-2637v4,13
82,2xIntelXeonE5-26400,5
83,2xIntelXeonE5-2640v3,6
84,2xIntelXeonE5-2640v4,2
85,2xIntelXeonE5-26430,6
