Producer,Name,Range,Codename,core,clock,Socket,Process (nm),L3 Cache,TDP (W),rel_date,rel_year,Range
AMD,Athlon 1000,Athlon,Thunderbird,1,1,Socket A,180,N/A,54,Oct 31st,2000,Athlon
AMD,Athlon 1000,Athlon,Thunderbird,1,1,Socket A,180,N/A,54,Jun 5th,2000,Athlon
AMD,Athlon 1100,Athlon,Thunderbird,1,"1,1",Socket A,180,N/A,60,Aug 14th,2000,Athlon
AMD,Athlon 1133,Athlon,Thunderbird,1,1133,Socket A,180,N/A,63,Oct 31st,2000,Athlon
AMD,Athlon 1200,Athlon,Thunderbird,1,"1,2",Socket A,180,N/A,66,Oct 31st,2000,Athlon
AMD,Athlon 1200,Athlon,Thunderbird,1,"1,2",Socket A,180,N/A,66,Oct 17th,2000,Athlon
AMD,Athlon 600,Athlon,Thunderbird,1,"0,6",Socket A,180,N/A,38,Jun 5th,2000,Athlon
AMD,Athlon 650,Athlon,Thunderbird,1,"0,65",Socket A,180,N/A,38,Jun 5th,2000,Athlon
AMD,Athlon 700,Athlon,Thunderbird,1,"0,7",Socket A,180,N/A,40,Jun 5th,2000,Athlon
AMD,Athlon 750,Athlon,Thunderbird,1,"0,75",Socket A,180,N/A,43,Jun 5th,2000,Athlon
AMD,Athlon 800,Athlon,Thunderbird,1,"0,8",Socket A,180,N/A,45,Jun 5th,2000,Athlon
AMD,Athlon 850,Athlon,Thunderbird,1,"0,85",Socket A,180,N/A,47,Jun 5th,2000,Athlon
AMD,Athlon 900,Athlon,Thunderbird,1,"0,9",Socket A,180,N/A,50,Jun 5th,2000,Athlon
AMD,Athlon 950,Athlon,Thunderbird,1,"0,95",Socket A,180,N/A,52,Jun 5th,2000,Athlon
AMD,Athlon 1300,Athlon,Thunderbird,1,"1,3",Socket A,180,N/A,68,Mar 21st,2001,Athlon
AMD,Athlon 1333,Athlon,Thunderbird,1,1333,Socket A,180,N/A,70,Mar 21st,2001,Athlon
