,0
0,AMD Ryzen 5 5600X 6-Core
1,Intel Core i9-11900K
2,AMD Ryzen 9 5950X 16-Core
3,AMD Ryzen 7 5800X 8-Core
4,AMD Ryzen 9 5900X 12-Core
5,Intel Core i5-11600K
6,Intel Core i9-10900K
7,Intel Core i9-9900K
8,Intel Core i5-10600K
9,AMD Ryzen 9 3900XT 12-Core
10,AMD Ryzen 5 5600G
11,AMD Ryzen 9 3950X 16-Core
12,AMD Ryzen 3 3300X 4-Core
13,AMD Ryzen Threadripper 3970X 32-Core
14,AMD Ryzen 7 5700G
15,AMD Ryzen 9 3900X 12-Core
16,AMD Ryzen 5 3600X 6-Core
17,AMD Ryzen 7 3700X 8-Core
18,Intel Core i9-10885H
19,Intel Core i9-10980XE
20,AMD Ryzen Threadripper 3990X 64-Core
21,Apple M1
22,AMD Ryzen 7 5800H
23,Intel Core i3-10100
24,AMD Ryzen 5 3600 6-Core
25,Intel Core i7-4790K
26,Intel Core i7-7900X
27,AMD Ryzen 7 4800H
28,Intel Core i7-9750H
29,AMD Ryzen Threadripper 3960X 24-Core
30,Intel Xeon E3-1270 v5
31,AMD EPYC 7F32 8-Core
32,AMD EPYC 7F52 16-Core
33,Intel Core i5-7600K
34,AMD Ryzen 7 4700U
35,AMD EPYC 7F72 24-Core
36,Intel Core i7-8750H
37,Intel Pentium Gold G6400
38,AMD Ryzen 7 2700 Eight-Core
39,Intel Core i7-1065G7
40,Intel Xeon E3-1280 v5
41,AMD Ryzen 5 4500U
42,AMD Ryzen 7 2700X Eight-Core
43,Intel Core i7-8565U
44,Intel Core i5-4670
45,Intel Xeon Gold 5218
46,Intel Xeon Silver 4215R
47,2 x Intel Xeon Platinum 8280
48,AMD EPYC 7542 32-Core
49,AMD EPYC 7262 8-Core
50,Intel Core i7-9700TE
51,Intel Core i7-8550U
52,2 x AMD EPYC 7742 64-Core
53,AMD EPYC 7502 32-Core
54,AMD EPYC 7502P 32-Core
55,AMD EPYC 7402P 24-Core
56,Intel Xeon Gold 6226R
57,AMD Ryzen 5 5500U
58,Intel Core i5-4590
59,Intel Xeon E3-1260L v5
60,AMD EPYC 7452 32-Core
61,AMD EPYC 7702 64-Core
62,AMD EPYC 7552 48-Core
63,AMD EPYC 7532 32-Core
64,AMD EPYC 7642 48-Core
65,2 x Intel Xeon Gold 5220R
66,AMD Ryzen 7 1700 Eight-Core
67,AMD Ryzen 3 2200G
68,Intel Xeon Gold 5217
69,AMD EPYC 7662 64-Core
70,AMD EPYC 7302P 16-Core
71,AMD EPYC 7272 12-Core
72,AMD EPYC 7282 16-Core
73,AMD EPYC 7252 8-Core
74,Intel Core i7-5960X
75,AMD EPYC 7352 24-Core
76,Intel Core i7-4960X
77,Intel Xeon Silver 4214R
78,Intel Core i5-1135G7
79,AMD EPYC 7232P 8-Core
80,Intel Celeron G5900
81,Intel Core i7-4558U
82,AMD Ryzen 5 3500U
83,Intel Xeon Silver 4210R
84,Intel Xeon Silver 4216
85,Intel Core i7-8700B
86,Intel Core i7-5600U
87,AMD EPYC 7J13 64-Core
88,Intel Core i5-3470
89,Intel Core i7-6820HQ
90,Intel Core i5-7Y54
91,Intel Core i5-4570T
92,4 x AMD Ryzen 5 3600 6-Core
93,Intel Core i3-4130
94,Intel Core i5-2520M
95,POWER9 44-Core
96,Intel Core i7-3517U
97,Intel Celeron J3060
98,ARMv8 Cortex-A72 4-Core
99,ARMv7 Cortex-A15 8-Core
100,Mobile AMD Sempron 3500
101,Intel Atom N280
102,Intel Xeon E-2288G
103,AMD EPYC 7313 16-Core
104,AMD Ryzen 3 3200G
105,2 x AMD EPYC 7763 64-Core
106,2 x AMD EPYC 7663 56-Core
107,2 x AMD EPYC 7713 64-Core
108,Ampere Altra ARMv8 Neoverse-N1 160-Core
109,2 x AMD EPYC 7643 48-Core
110,2 x AMD EPYC 75F3 32-Core
111,2 x AMD EPYC 7543 32-Core
112,2 x AMD EPYC 7513 32-Core
113,AMD EPYC 7763 64-Core
114,2 x AMD EPYC 7453 28-Core
115,2 x AMD EPYC 7443 24-Core
116,2 x Intel Xeon Platinum 8380
117,AMD EPYC 7742 64-Core
118,2 x AMD EPYC 7F72 24-Core
119,2 x AMD EPYC 7601 32-Core
120,AMD EPYC 7643 48-Core
121,2 x AMD EPYC 73F3 16-Core
122,2 x AMD EPYC 7F52 16-Core
123,AMD EPYC 75F3 32-Core
124,2 x AMD EPYC 7343 16-Core
125,AMD EPYC 7543 32-Core
126,AMD Ryzen Threadripper 2990WX 32-Core
127,Intel Xeon Platinum 8380
128,AMD EPYC 7453 28-Core
129,AMD EPYC 74F3 24-Core
130,AMD EPYC 7443 24-Core
131,AMD EPYC 7551 32-Core
132,AMD Ryzen Threadripper 2970WX 24-Core
133,Intel Xeon Gold 6258R
134,Intel Xeon Platinum 8280
135,AMD EPYC 73F3 16-Core
