,Test Mean Absolute Error (Lower is better),Architecture,Algorithm
0,[0.25272633],westmere,LR
1,[0.27260477],westmere,LR
2,[0.25452644],westmere,LR
3,[0.24018005],westmere,LR
4,[0.27186089],westmere,LR
5,[0.25481895],westmere,LR
6,[0.24956376],westmere,LR
7,[0.27150041],westmere,LR
8,[0.26529498],westmere,LR
9,[0.26767583],westmere,LR
10,[0.27869722],westmere,LR
11,[0.2777319],westmere,LR
12,[0.27284095],westmere,LR
13,[0.28045644],westmere,LR
14,[0.26839834],westmere,LR
15,[0.25567064],westmere,LR
16,[0.27354794],westmere,LR
17,[0.26389771],westmere,LR
18,[0.24390558],westmere,LR
19,[0.28082847],westmere,LR
20,[0.05298582],westmere,LR
21,[0.05363912],westmere,LR
22,[0.05201629],westmere,LR
23,[0.04615707],westmere,LR
24,[0.05699815],westmere,LR
25,[0.04867971],westmere,LR
26,[0.05233076],westmere,LR
27,[0.05119092],westmere,LR
28,[0.05211076],westmere,LR
29,[0.04995559],westmere,LR
30,[0.05245418],westmere,LR
31,[0.04924695],westmere,LR
32,[0.04956053],westmere,LR
33,[0.05711414],westmere,LR
34,[0.05231268],westmere,LR
35,[0.04890541],westmere,LR
36,[0.06037487],westmere,LR
37,[0.05283352],westmere,LR
38,[0.04948837],westmere,LR
39,[0.05552933],westmere,LR
40,[0.05517811],westmere,LR
41,[0.05757334],westmere,LR
42,[0.05756049],westmere,LR
43,[0.04904923],westmere,LR
44,[0.05718269],westmere,LR
45,[0.05334206],westmere,LR
46,[0.05296422],westmere,LR
47,[0.05521525],westmere,LR
48,[0.0563181],westmere,LR
49,[0.06299949],westmere,LR
50,[0.05374807],westmere,LR
51,[0.05613149],westmere,LR
52,[0.06549022],westmere,LR
53,[0.05939005],westmere,LR
54,[0.05214134],westmere,LR
55,[0.05107645],westmere,LR
56,[0.05934362],westmere,LR
57,[0.05278083],westmere,LR
58,[0.06030976],westmere,LR
59,[0.05380578],westmere,LR
60,[0.08338406],westmere,LR
61,[0.09345809],westmere,LR
62,[0.08284386],westmere,LR
63,[0.08970025],westmere,LR
64,[0.08230281],westmere,LR
65,[0.08176586],westmere,LR
66,[0.09109288],westmere,LR
67,[0.09517672],westmere,LR
68,[0.07582307],westmere,LR
69,[0.0928501],westmere,LR
70,[0.07668303],westmere,LR
71,[0.08694815],westmere,LR
72,[0.08647233],westmere,LR
73,[0.07968833],westmere,LR
74,[0.09568829],westmere,LR
75,[0.08776569],westmere,LR
76,[0.10388286],westmere,LR
77,[0.08348546],westmere,LR
78,[0.08717011],westmere,LR
79,[0.09148889],westmere,LR
80,[0.06391005],westmere,LR
81,[0.06136871],westmere,LR
82,[0.06579717],westmere,LR
83,[0.07833445],westmere,LR
84,[0.06527263],westmere,LR
85,[0.0747766],westmere,LR
86,[0.06709849],westmere,LR
87,[0.06640137],westmere,LR
88,[0.0659121],westmere,LR
89,[0.06613598],westmere,LR
90,[0.06359712],westmere,LR
91,[0.06985442],westmere,LR
92,[0.07819758],westmere,LR
93,[0.06524492],westmere,LR
94,[0.08010852],westmere,LR
95,[0.07131798],westmere,LR
96,[0.06030985],westmere,LR
97,[0.07150058],westmere,LR
98,[0.07411529],westmere,LR
99,[0.06621671],westmere,LR
100,[0.05825368],westmere,LR
101,[0.06948698],westmere,LR
102,[0.06069449],westmere,LR
103,[0.06334108],westmere,LR
104,[0.05590517],westmere,LR
105,[0.07166413],westmere,LR
106,[0.05861935],westmere,LR
107,[0.06456434],westmere,LR
108,[0.0562097],westmere,LR
109,[0.06020568],westmere,LR
110,[0.05802265],westmere,LR
111,[0.06741673],westmere,LR
112,[0.0633554],westmere,LR
113,[0.0688438],westmere,LR
114,[0.06712306],westmere,LR
115,[0.06119583],westmere,LR
116,[0.06589881],westmere,LR
117,[0.07071082],westmere,LR
118,[0.06431241],westmere,LR
119,[0.0639604],westmere,LR
120,[0.08870388],westmere,LR
121,[0.10018747],westmere,LR
122,[0.09225383],westmere,LR
123,[0.11063169],westmere,LR
124,[0.09485599],westmere,LR
125,[0.09562177],westmere,LR
126,[0.08741079],westmere,LR
127,[0.09972798],westmere,LR
128,[0.08678404],westmere,LR
129,[0.09062735],westmere,LR
130,[0.09574915],westmere,LR
