,idproc,descproc,percentile,nbproc,perf
148,/s/AMD+Ryzen+5+4500U,AMD Ryzen 5 4500U,12th,19,509 +/- 12
149,/s/AMD+Ryzen+5+2400G,AMD Ryzen 5 2400G,12th,4,510 +/- 6
150,/s/Intel+Core+i7-9750H,Intel Core i7-9750H,11th,6,536 +/- 5
151,/s/Intel+Core+i7-4790K,Intel Core i7-4790K,10th,4,549 +/- 31
152,/s/Intel+Core+i7-1185G7,Intel Core i7-1185G7,10th,5,590 +/- 37
153,/s/Intel+Core+i5-7600K,Intel Core i5-7600K,10th,4,600 +/- 2
154,/s/Intel+Core+i7-6700HQ,Intel Core i7-6700HQ,10th,7,607 +/- 66
155,/s/Intel+Core+i7-5775C,Intel Core i7-5775C,9th,3,627 +/- 30
156,/s/AMD+Ryzen+3+2200G,AMD Ryzen 3 2200G,9th,3,673 +/- 8
157,/s/Intel+Core+i3-8100,Intel Core i3-8100,9th,3,675 +/- 2
158,/s/Intel+Xeon+E3-1225+v6,Intel Xeon E3-1225 v6,9th,84,689
159,/s/Intel+Core+i7-1165G7,Intel Core i7-1165G7,5th,10,708 +/- 20
160,/s/Intel+Core+i7-1065G7,Intel Core i7-1065G7,4th,16,832 +/- 56
161,/s/Intel+Core+i7-8550U,Intel Core i7-8550U,3rd,4,889 +/- 97
162,/s/Intel+Core+i7-8565U,Intel Core i7-8565U,3rd,3,927 +/- 49
163,/s/Intel+Core+i7-3770,Intel Core i7-3770,2nd,4,1005 +/- 112
164,/s/Intel+Core+i5-2500K,Intel Core i5-2500K,2nd,4,1165 +/- 99
165,/s/Intel+Core+i5-2520M,Intel Core i5-2520M,1st,4,2451 +/- 223
