,idproc,descproc,percentile,nbproc,perf
69,/s/Intel+Xeon+E3-1280+v5,Intel Xeon E3-1280 v5,16th,3,126
70,/s/Intel+Xeon+E3-1245+v5,Intel Xeon E3-1245 v5,14th,4,127
71,/s/Intel+Core+i7-1165G7,Intel Core i7-1165G7,14th,8,128 +/- 13
72,/s/Intel+Xeon+E3-1270+v5,Intel Xeon E3-1270 v5,14th,4,130
73,/s/Intel+Xeon+E3-1260L+v5,Intel Xeon E3-1260L v5,13th,3,132
74,/s/Intel+Core+i7-4770K,Intel Core i7-4770K,12th,4,143
75,/s/Intel+Core+i5-7600K,Intel Core i5-7600K,11th,3,151
76,/s/Intel+Core+i3-8100,Intel Core i3-8100,11th,3,151
77,/s/Intel+Xeon+E5-2609+v4,Intel Xeon E5-2609 v4,10th,3,154 +/- 1
78,/s/Intel+Core+i7-8550U,Intel Core i7-8550U,9th,4,159 +/- 4
79,/s/Intel+Core+i5-6500,Intel Core i5-6500,8th,3,165
80,/s/Intel+Core+i7-1065G7,Intel Core i7-1065G7,8th,5,166 +/- 14
81,/s/Intel+Core+i5-4670,Intel Core i5-4670,7th,4,177 +/- 4
82,/s/Intel+Core+i7-8565U,Intel Core i7-8565U,7th,6,178 +/- 12
83,/s/Intel+Core+i7-3770K,Intel Core i7-3770K,7th,3,179
84,/s/AMD+Ryzen+3+1300X,AMD Ryzen 3 1300X,7th,3,179
85,/s/AMD+Ryzen+3+2200G,AMD Ryzen 3 2200G,6th,3,180
86,/s/Intel+Xeon+E3-1235L+v5,Intel Xeon E3-1235L v5,5th,3,191
87,/s/Intel+Core+i7-2700K,Intel Core i7-2700K,4th,3,192
88,/s/AMD+FX-8150+Eight-Core,AMD FX-8150 Eight-Core,3rd,3,195 +/- 4
89,/s/Intel+Core+i3-7100,Intel Core i3-7100,3rd,3,227 +/- 1
90,/s/Intel+Core+i7-5600U,Intel Core i7-5600U,2nd,4,346 +/- 1
91,/s/AMD+Ryzen+3+3200U,AMD Ryzen 3 3200U,2nd,4,361 +/- 5
