,idproc,descproc,percentile,nbproc,perf
66,/s/AMD+EPYC+7343+16-Core,AMD EPYC 7343 16-Core,56th,3,48 +/- 1
67,/s/Intel+Core+i9-10980XE,Intel Core i9-10980XE,56th,16,49 +/- 1
68,/s/Intel+Xeon+Gold+6230R,Intel Xeon Gold 6230R,55th,3,50
69,/s/AMD+Ryzen+9+5900X+12-Core,AMD Ryzen 9 5900X 12-Core,53rd,28,53 +/- 1
70,/s/2+x+AMD+EPYC+7262+8-Core,2 x AMD EPYC 7262 8-Core,53rd,5,54 +/- 1
71,/s/AMD+EPYC+7302P+16-Core,AMD EPYC 7302P 16-Core,51st,16,55 +/- 1
73,/s/2+x+Intel+Xeon+Silver+4210R,2 x Intel Xeon Silver 4210R,50th,3,57 +/- 1
74,/s/AMD+Ryzen+Threadripper+2950X+16-Core,AMD Ryzen Threadripper 2950X 16-Core,50th,6,57 +/- 2
75,/s/2+x+Intel+Xeon+Silver+4215R,2 x Intel Xeon Silver 4215R,50th,4,58 +/- 1
76,/s/2+x+AMD+EPYC+7252+8-Core,2 x AMD EPYC 7252 8-Core,50th,5,58 +/- 1
77,/s/AMD+EPYC+7282+16-Core,AMD EPYC 7282 16-Core,49th,11,59 +/- 1
78,/s/AMD+Ryzen+9+3900XT+12-Core,AMD Ryzen 9 3900XT 12-Core,49th,15,60
79,/s/Intel+Xeon+Gold+6226R,Intel Xeon Gold 6226R,47th,14,62 +/- 1
80,/s/2+x+Intel+Xeon+Silver+4210,2 x Intel Xeon Silver 4210,47th,4,62
81,/s/Intel+Xeon+Gold+5218R,Intel Xeon Gold 5218R,47th,3,62 +/- 1
82,/s/AMD+Ryzen+9+3900X+12-Core,AMD Ryzen 9 3900X 12-Core,45th,20,64 +/- 5
83,/s/Intel+Xeon+Gold+5220R,Intel Xeon Gold 5220R,45th,4,64 +/- 1
84,/s/2+x+Intel+Xeon+Gold+6138,2 x Intel Xeon Gold 6138,43rd,5,66 +/- 5
85,/s/Intel+Core+i9-10900K,Intel Core i9-10900K,43rd,28,67 +/- 2
86,/s/AMD+EPYC+7351P+16-Core,AMD EPYC 7351P 16-Core,43rd,3,71 +/- 1
87,/s/Intel+Xeon+Gold+5218,Intel Xeon Gold 5218,41st,11,74 +/- 1
88,/s/Intel+Core+i9-11900K,Intel Core i9-11900K,41st,14,75 +/- 1
89,/s/AMD+EPYC+7272+12-Core,AMD EPYC 7272 12-Core,40th,9,76 +/- 2
